t,x,y,vx,vy,V
54.9183,17.5261,6.25287,-9.82905,-2.93006,10.2565
54.9183,1.86249,7.64406,2.28067,6.16209,6.5706
54.9183,17.1668,15.6603,5.21334,-6.74239,8.52284
54.9183,10.8129,13.1738,-1.77362,-2.39009,2.97628
54.9183,8.54138,1.71508,-8.62592,-1.00579,8.68436
54.9183,1.21189,18.4048,-5.1013,-0.613415,5.13805
54.9183,6.2113,7.22301,3.93638,0.29772,3.94762
54.9183,13.84,15.4283,18.8177,-7.49406,20.2551
54.9183,7.7804,3.85723,-2.4795,-3.16487,4.02049
54.9183,6.80292,17.9682,8.97982,3.95981,9.81414
54.9183,18.5107,11.6128,-3.37613,-1.47988,3.68623
54.9183,9.91671,4.68948,6.17591,3.91981,7.31483
54.9183,11.6069,1.60733,-7.93016,1.85923,8.14519
55.2184,5.62922,10.8187,14.5007,7.63786,16.3893
55.2184,15.8184,18.3545,7.06403,-8.10593,10.7521
55.2184,16.7709,12.611,-0.676141,4.10701,4.1623
55.2184,3.15336,4.23068,-4.43249,10.9033,11.7698
55.2184,1.09378,2.41508,1.95976,-1.06246,2.22924
55.2184,2.42894,14.1476,8.82014,-9.05388,12.6399
55.2184,11.9457,18.1454,-0.703702,-23.2458,23.2564
55.2184,12.5715,9.66658,-13.3138,-8.17761,15.6247
55.2184,10.1904,16.0625,-1.71686,1.06384,2.01974
55.2184,18.7568,3.94264,-0.182743,-6.64567,6.64818
55.2184,4.46262,1.28947,4.45068,9.75595,10.7232
55.2184,4.94372,13.4835,-1.6145,-0.764637,1.78642
55.2184,18.1965,6.45271,-9.82905,-2.93006,10.2565
55.2184,1.70694,7.22379,2.28067,6.16209,6.5706
55.2184,16.8113,16.1201,5.21334,-6.74239,8.52284
55.2184,10.9338,13.3368,-1.77362,-2.39009,2.97628
55.2184,9.12969,1.78368,-8.62592,-1.00579,8.68436
55.2184,1.55982,18.4466,-5.1013,-0.613415,5.13805
55.2184,5.94283,7.20271,3.93638,0.29772,3.94762
55.2184,13.462,15.0128,1.15981,10.5928,10.6561
55.2184,7.39895,3.87127,7.44005,0.469282,7.45484
55.2184,6.19047,17.6981,8.97982,3.95981,9.81414
55.2184,18.8076,11.6814,-11.7688,2.57606,12.0475
55.2184,10.0461,4.62394,-3.74364,0.285655,3.75452
55.2184,12.1477,1.48052,-7.93016,1.85923,8.14519
55.5185,4.64023,10.2977,14.5007,7.63786,16.3893
